# TC id	specification clause it was derived from
#
# The one hand-authored column of the traceability matrix: which clause a
# case exists to prove. Everything else in that document - title, priority,
# type, feature file - is scanned from the features and the CSV, so it
# cannot drift. This cannot be scanned, because it is the judgement that
# made the case worth writing.
TC-01	§5 step 3 (exact match)
TC-35	§2 ("Message key: bookingId on all three topics"); mutation table row 4
TC-36	§2 (message key); mutation table row 4
TC-37	Not specified in SPEC.md (header propagation is a suite-level contract expectation, not a §2–§7 clause); mutation table row 5
TC-38	Not specified in SPEC.md; TEST_SUITE_SPEC.md §7.4 only
TC-39	§7 (`InMemoryMessageBus` / synchronous delivery semantics — ordering is a consequence of the bus contract's per-topic queue)
TC-40	§4 enriched booking shape
TC-41	§4 flagged booking shape
TC-42	§2 exclusivity, enforced structurally. There is no `status` enum: CH-09 asked for one and it was deliberately rejected, because SPEC section 4 defines no such field and inventing it would have changed a payload shape the spec forbids changing. Exclusivity comes from `additionalProperties: false` plus disjoint `required` sets, so a flagged payload genuinely fails this schema and an enriched payload genuinely fails the flagged one. See DEF-111.
TC-43	§4. Note the mechanism: the schema sets `additionalProperties: false`, so it does **not** tolerate the extra field. The scenario passes because the service drops unrecognised fields before publishing, and what is asserted is that tolerance on the way in does not become a violation on the way out.
TC-44	§4 enriched booking shape (`enrichment` block); mutation table row 7
TC-45	Not a SPEC.md clause — exercises `CompatibilityChecker` against the schema file's own git history (TEST_SUITE_SPEC.md §7.5)
TC-46	SPEC.md 5 step 5 (ambiguity, reference-file order); 6 `AMBIGUOUS_ORIGIN_CITY`. Origin mirror of TC-29; until it existed this reason was permitted by the contract and asserted by nothing.
TC-47	SPEC.md 6 (reason order, origin before destination). A consumer reading `reasons[0]` to route a booking for review gets the wrong field if the order is not fixed.
TC-48	SPEC.md 5 step 3 over step 4 (the exact rule outranks the fuzzy rule). Asserted through confidence exactly 1.0, since enriching to the right city with a lower confidence would mean the fuzzy rule guessed well, not that precedence held.
TC-49	TEST_STRATEGY.md 4.1 (message timestamp preserved or deliberately reset, with the choice stated).
TC-50	§7 ("Parse failure → MALFORMED_MESSAGE to booking.flagged. Never throws out of the handler."); §4 (MALFORMED_MESSAGE shape)
TC-51	§7 ("must not stop subsequent deliveries")
TC-52	§4 ("bookingId is null and the message key is the Kafka key if present, else UNKNOWN")
TC-53	Out of scope per SPEC.md §2/TEST_SUITE_SPEC.md §13 (exactly-once is explicitly excluded); asserts at-least-once, non-deduplicating behaviour is intentional
TC-54	§7 (never throws; parse failure ⇒ flagged)
TC-55	§7 (parse failure ⇒ flagged, regardless of shape)
TC-56	TEST_STRATEGY.md 4.1 (offset committed only after successful processing, so a failure mid-processing is a redelivery and not a silent loss).
TC-57	TEST_SUITE_SPEC.md 7.4 (schema evolution is additive only). The accepted half of the fixture pair.
TC-58	TEST_SUITE_SPEC.md 7.4. The rejected half: a required field removed. Without both halves the comparison could not fail.
TC-60	§8.4 bulk profile (`enriched.size() + flagged.size() == N`)
TC-61	§8.4 (per-topic counts equal the oracle)
TC-62	§8.4 (per-reason counts equal the oracle); §9 (oracle labelled by the real matcher)
TC-63	§8.4 ("no bookingId on both topics"); §2 exclusivity at scale
TC-64	§7 (`InMemoryMessageBus`/bus contract under concurrent publish — no message-loss guarantee stated explicitly beyond §8.4's aggregate check)
TC-70	§5 step 6 (Kraków is not a reference city ⇒ `UNMATCHED_ORIGIN_CITY`); byte-identical preservation is not itself a SPEC.md clause
TC-71	As TC-70, for 東京
TC-72	§4 (`requestedDate` is a raw field carried through unchanged)
TC-73	Not specified in SPEC.md; consistent with §4's opaque treatment of `requestedDate`
TC-74	Not specified in SPEC.md — no maximum length is stated for `shipper`
TC-75	Not specified in SPEC.md — broker limits are an infrastructure concern (TEST_SUITE_SPEC.md §13)
TC-76	SPEC.md 5 step 4 (confidence floor, accept side). Measured distance 1; paired with TC-77 at the same distance so the pair isolates the floor from the distance cap.
TC-77	SPEC.md 5 step 4 (confidence floor, reject side). The only case in the suite that fails if the floor is lowered or deleted; every other flagged case is rejected by distance.
TC-78	SPEC.md 5 step 4 (long-name distance cap, accept at the cap).
TC-79	SPEC.md 5 step 4 (long-name distance cap, reject one edit past it).
TC-80	SPEC.md 5 step 2 (normalisation: padding and internal runs collapsed) proven through confidence exactly 1.0, which distinguishes the exact path from a fuzzy correction landing on the same city.
TC-101	Destination mirror of TC-01: the same clause proven on the other field. §5 step 3 (exact match)
TC-102	Destination mirror of TC-02: the same clause proven on the other field. §5 step 2–3 (case-fold, exact match); §5 sanity table `MUMBAI`
TC-103	Destination mirror of TC-03: the same clause proven on the other field. §5 step 2–3 (case-fold, exact match)
TC-104	Destination mirror of TC-04: the same clause proven on the other field. §5 step 2 (trim); §5 sanity table `  New   Delhi `
TC-105	Destination mirror of TC-05: the same clause proven on the other field. §5 step 2 (collapse internal whitespace)
TC-106	Destination mirror of TC-06: the same clause proven on the other field. §5 step 4 (fuzzy, d=1, name length > 6 ⇒ cap 2); §5 sanity table `Mumbi`
TC-107	Destination mirror of TC-07: the same clause proven on the other field. §5 step 4 (token matching via `delhi`); §5 sanity table `now delhi`
TC-108	Destination mirror of TC-08: the same clause proven on the other field. §5 step 4 (fuzzy, d=1); §5 sanity table `Bangalor`
TC-109	Destination mirror of TC-09: the same clause proven on the other field. §5 step 4 (fuzzy, d=1, doubled letter)
TC-110	Destination mirror of TC-10: the same clause proven on the other field. §5 step 4 (fuzzy, d=1, deletion)
TC-111	Destination mirror of TC-11: the same clause proven on the other field. §5 step 4 (short name, length ≤ 6 ⇒ cap 1, JW ≥ 0.85); §5 sanity table `Pne`; boundary pair with TC-13
TC-112	Destination mirror of TC-12: the same clause proven on the other field. §5 step 4 (token matching, least obvious rule per §5 note); §5 sanity table `Delh` (base list)
TC-113	Destination mirror of TC-13: the same clause proven on the other field. §5 step 4/6 (d=2 > cap 1 ⇒ no match); §6 `UNMATCHED_ORIGIN_CITY`; boundary pair with TC-11
TC-114	Destination mirror of TC-14: the same clause proven on the other field. §5 step 4/6 (d=3 > cap 2 ⇒ no match); §6 `UNMATCHED_ORIGIN_CITY`; boundary pair with TC-06
TC-115	Destination mirror of TC-15: the same clause proven on the other field. §5 step 6 (no candidate); §6 `UNMATCHED_ORIGIN_CITY`; §5 sanity table `Warsaw`
TC-116	Destination mirror of TC-16: the same clause proven on the other field. §5 step 6 (no candidate); §6 `UNMATCHED_ORIGIN_CITY`
TC-117	Destination mirror of TC-17: the same clause proven on the other field. §5 step 1 (missing — empty); §6 `MISSING_ORIGIN_CITY`; §5 sanity table `""`
TC-118	Destination mirror of TC-18: the same clause proven on the other field. §5 step 1 (missing — whitespace-only)
TC-119	Destination mirror of TC-19: the same clause proven on the other field. §5 step 1 (missing — field absent)
TC-120	Destination mirror of TC-20: the same clause proven on the other field. §5 step 1 (missing — JSON `null`)
TC-176	Destination mirror of TC-76: the same clause proven on the other field. SPEC.md 5 step 4 (confidence floor, accept side). Measured distance 1; paired with TC-77 at the same distance so the pair isolates the floor from the distance cap.
TC-177	Destination mirror of TC-77: the same clause proven on the other field. SPEC.md 5 step 4 (confidence floor, reject side). The only case in the suite that fails if the floor is lowered or deleted; every other flagged case is rejected by distance.
TC-178	Destination mirror of TC-78: the same clause proven on the other field. SPEC.md 5 step 4 (long-name distance cap, accept at the cap).
TC-179	Destination mirror of TC-79: the same clause proven on the other field. SPEC.md 5 step 4 (long-name distance cap, reject one edit past it).
TC-180	Destination mirror of TC-80: the same clause proven on the other field. SPEC.md 5 step 2 (normalisation: padding and internal runs collapsed) proven through confidence exactly 1.0, which distinguishes the exact path from a fuzzy correction landing on the same city.
